country,category,type,link,feedback,ga_tagged,live_status,breadcrumb
독일(DE),TV,Lineup Guide,https://www.lg.com/de/buying-guides/tv-lineup-guide/,26.0316 Katrin 컨펌 완료,완료,,O
독일(DE),TV,Feature Library,https://www.lg.com/de/buying-guides/tv-spec-library/,26.0316 Katrin 컨펌 완료,완료,,O
독일(DE),Monitor,Lineup Guide,https://www.lg.com/de/buying-guides/monitor-lineup-guide/,법인 피드백 반영 완료,완료,LIVE,O
독일(DE),Monitor,Feature Library,https://www.lg.com/de/buying-guides/monitor-spec-library/,법인 피드백 반영 완료,완료,LIVE,O
독일(DE),REF,Lineup Guide,https://www.lg.com/de/buying-guides/refrigerator-lineup-guide/,26.03.30 리마인드 메일,,,
독일(DE),REF,Feature Library,https://www.lg.com/de/buying-guides/refrigerator-spec-library,,완료,LIVE,O
독일(DE),Laundry,Lineup Guide,https://www.lg.com/de/buying-guides/laundry-lineup-guide/,26.03.26 리마인드 메일,,,
독일(DE),Laundry,Feature Library,https://www.lg.com/de/buying-guides/laundry-spec-library,,완료,LIVE,O
영국(UK),TV,Lineup Guide,https://www.lge.com/uk/buying-guides/tv-lineup-guide/,법인 피드백 반영 완료,완료,LIVE,O
영국(UK),TV,Features Guide,https://www.lge.com/uk/buying-guides/tv-spec-library/,법인 피드백 반영 완료,완료,LIVE,O
영국(UK),Monitor,Lineup Guide,https://www.lge.com/uk/buying-guides/monitor-lineup-guide/,법인 피드백 반영 완료,완료,LIVE,O
영국(UK),Monitor,Features Guide,https://www.lge.com/uk/buying-guides/monitor-spec-library/,법인 피드백 반영 완료,완료,LIVE,O
영국(UK),REF,Lineup Guide,https://www.lg.com/uk/buying-guides/refrigerator-lineup-guide/,법인 피드백 반영 완료,,,
영국(UK),REF,Feature Library,https://www.lg.com/uk/buying-guides/refrigerator-spec-library,,완료,LIVE,O
영국(UK),Laundry,Lineup Guide,https://www.lg.com/uk/buying-guides/laundry-lineup-guide/,법인 최종 피드백 요청 (3.26),,,
영국(UK),Laundry,Feature Library,https://www.lg.com/uk/buying-guides/laundry-spec-library,,완료,LIVE,O
캐나다(CA_en),TV,Lineup Guide,https://www.lg.com/ca_en/buying-guides/tv-lineup-guide/,,완료,LIVE,O
캐나다(CA_en),TV,Feature Library,https://www.lg.com/ca_en/buying-guides/tv-spec-library/,,완료,LIVE,O
캐나다(CA_en),Monitor,Lineup Guide,https://www.lg.com/ca_en/buying-guides/monitor-lineup-guide/,,완료,LIVE,O
캐나다(CA_en),Monitor,Feature Library,https://www.lg.com/ca_en/buying-guides/monitor-spec-library/,,완료,LIVE,O
